,score,Title,content
0,2.0,Dirty Room,"Stayed at the Bellagio for the first time ever for a work trip. I had requested early check-in via front desk chat on Hotels.com and was not told I had to fill out anything in advance on the App to secure. They found me an accessible room, which was good until I entered the room. I found a used razor blade on the bathroom counter, the towels were used with stains on them, and there was hair throughout the bathroom and in between the bed sheets."
1,5.0,Great vacation!!,Beautiful well kept room with a great view. Wonderful food and great staff!! This is a beautiful hotel that has everything you need for a wonderful vacation. We did most of our gambling and most of our dining at the Bellagio.
2,4.0,Fantastic Experience at Bellagio,"We had a wonderful time at Bellagio. Everything from the room (with spectacular view), food, pool, casino, and shopping were top notch! The only little thing was we had paid for early check in and still had to wait until nearly 3:00 for our room to be ready. They did end up waiving the fee but after a long morning of travel we would have preferred to pay the fee and get in the room sooner teat up and recharge:) Can’t wait to come back, and maybe next time book a later flight."
3,4.0,Beautiful but $22 for water?,"I had a great stay at the Bellagio. The place is gorgeous, over the top in every way, the restaurants were all fantastic. My issue boils down to when you just want a quick bite or a drink of water without having to wander the casino looking for a place. $40 for a salad with 4 shrimp and a soda water seems a tad bit high to me. $8.30 for an iced tea. None of these items came with presentations or anything exotic that warranted the severe over charge. If you want water late at night and didn't plan ahead, watch out for the Fiji in your room! It'll cost you!"
4,5.0,A perfect Weekend getaway!,The hotel is wheelchair friendly. The rooms were clean no odor. Check in and out was easy and fast. The spa was GREAT the best 24/7 room service FAST. The view was great. The services were on time. I love the safety of catching a cab
5,5.0,Great stay!,"Great hotel! We went to many of the hotels on the strip and found the Bellagio to have the best theme and most elegant look, we would definitely go back! They had a spring theme when we went and it was absolutely breathtaking!"
6,5.0,Best resort to stay in Las Vegas,"Fantastic value , great value, great food amazing service . Lots of very positive energy. Food choices are numerous, staff is terrific. Can’t beat the location. Beautiful gardens, great art, and top notch gambling"
7,1.0,AC stopped working on our last day,"AC stopped working on our last day. We thought it’ll start working throughout the day. After a tiring day we returned to our room at 1am in the morning, AC still not working! We called guest service, we were advised that an engineer will come to fix it but we got an electric fan instead ! We called again to follow up on the engineer, he came after an hour of our first call. We were told that the motor broke and he doesn’t have a replacement motor, they run out !!! Although we were moved to another room on same floor, we would’ve appreciated not having to go through this dissapointing experience especially our flight is at 730am!"
8,5.0,Bellagio delivered,"We went to retake a family picture taken 20 years ago. Bellagio was the perfect place to do this. The rooms were immaculate (we had 3), the food was great and just the environment make for an enjoyable stay! Going back in a couple months."
9,3.0,10 Year Anniversary Trip,"My husband and I, with a group of friends, came to Vegas to celebrate our 10th anniversary. I explained to the concierge, Victor, that it was very important for me to have a wedding cake made for my anniversary because the Mandalay Bay forgot to make the cake for the wedding ten years ago. My husband and I made a big deal for our tenth anniversary. I bought a new wedding dress my husband bought a new suite and we were ready to make new memories. I talked with Victor and emailed with Victor many times to make sure I would have my cake. I completed my cake form and included a picture of the cake I wanted. Victor said he would need to check with the pastry chef to see if he would make the cake. Victor emailed me to confirm that the pastry chef would make the cake but wasn't"
10,3.0,The sell out,MGM Rewards has gone the way of being well it SUCKS Tight with all slot play going the way the Bean counters want. There is no real easy give back to the Players Club Members. So bring your wallet because it will cost you to eat.
11,4.0,Ballagio Spa Tower,"Room was dated, would recommend looking into an upgrading. Room felt a bit like a budget vegas hotel. Over all staff was nice however, most of the security elevator area staff was not the friendliest."
12,5.0,Absolutely fantastic,"We stayed at the Bellagio for 3 nights as we were getting married in Vegas. Everything from start to finish was exceptional. The staff are so knowledgeable, friendly and helpful and nothing is too much trouble. The room was immaculate and spotlessly clean, the views were fantastic and the floral garden was breathtaking. We visited the other hotels while we were there and although they are all different, the Bellagio just had that old school glamour. We will be back!!"
13,5.0,AWESOME!!!!,"We had an amazing Easter Holiday Trip. The AMBIANCE of this luxury resort was FABULOUS!!! Also, it's exactly where you have easily access to all luxury stores and Casino. You can spend the day in the pools and Atrium, so relaxing and beautiful."
14,5.0,Birthday,"Dealers were real nice on the three card poker table, pit bosses to had a great time playing and talking to them, sport bar Brian was great very personable , all the people a Bellagio are fantastic keep up the good work"
15,5.0,Top class treatment,We were amazed at how clean and well kept the property is. Our room was very nice and the interaction with the staff was exceptional. We ate at the buffet and found it to be one of the best on the strip. All the things that I mentioned made for a very special vacation.
16,5.0,Great Resort,"Great room with Fountain view, received Slot Credits and property spending money. Centrally located on the Strip. Great Resort. We had a lot of fun. Actually won a little money at the Bellagio Casino. Food in every Restaurant we tried was excellent. Also had a Massage and used the Spa facility. Very nice Spa. Was a wonderful stay in Las Vegas. We do not stay anywhere else."
17,5.0,Bellagio Never Disappoints,"It’s always a wonderful stay at The Bellagio. The staff is great, the hotel is clean, the food options are fantastic and the pools are very nice. One of my favorite areas at this hotel is their gym. They have a large well equipped gym for the guests."
18,5.0,Joseph Bonavita,"The staff was so friendly,and willing to help you with everything. The place was kept so clean. The atmosphere is so great. Everyone , including myself was having such a great time. The casino and the restaurant are all ran exceptional. I really enjoyed my stay,it is located in suck a perfect location."
19,5.0,Our best experience ever in Vegas,"Terrific! We would stay again and recommend to others without hesitation. Our favorite stay over many years in Vegas. Also, a great pool day; service was the best. Enjoyed the restaurants and use of a Cabana at the pool."
20,5.0,Awesome!,"I never left the Bellagio, everything is in the hotel that you need… pools, restaurants, and shopping…. Loved the room and would return without a doubt. The workers were friendly and helpful. The view of the light show was amazing."
21,5.0,Fabulous staff,Fabulous staff! There was nothing that could have been better except if we'd won more money. Even losing was an experience that was memorable in not a bad way. I'll be back many more times and look forward to new adventures!
22,5.0,Goto place,"The customer service was prompt and excellent. Im not a fan of casino but enjoyed the brunch place at Sadelle… Gym was perfect. If I visit Vegas, I would repeat my stay here as it is centrally located from other casinos to walk."
23,5.0,Very nice stay.,"Beautiful, clean hotel with friendly, helpful staff, great room and wonderful bed! Great atmosphere and shopping. 200 characters is way too many for any review. Still need forty or so more characters!"
24,5.0,Bellagio is what Vegas is all about.,My favorite place to stay in Vegas. Great places to eat and the lobby piano bar is the best place to people watch. We have stayed at the zbellsgio for the past six or seven years. It remains the best by seeing to every detail.
25,5.0,Awesome Gardens,"Beautiful Hotel, gardens are awesome. Room was spacious and clean. Hotel allowed us a 1/2 hour late check out to coincide with our flight home. Staff was very friendly and helpful. We only stayed 1 night, but will return in the future!"
26,5.0,Enjoying the Bellagio,"Our stay was perfect… the hotel/resort, and the service was excellent. The beautiful scenery, enjoyed that everything we needed was there, good food, and entertainment We will be booking another stay"
27,5.0,Consistently the best.,"Always my favorite place to gamble and stay. Excellent employees , restaurants and service. Great bed and pillows!! Super clean. Beautiful pool area. Really appreciate the Comps. It keeps me coming back!!"
28,5.0,Class Act,Always a wonderful experience when we're at Bellagio. Class act all the way. Staff is outstanding and always helpful for all your needs. Oksana in the VIP check in went out of her way to make our stay enjoyable. She's the best.
29,5.0,NFL Draft,"Excellent service during the draft. Enjoyed the suite, and night life. We definitely will be returning to stay and upgrade to a larger suite. The scene and the vibes are great! The restaurants and chocolate bar amazing."
30,5.0,Simply The Best,"My wife and I have been going to Vegas annually for over 15 years ---and we've stayed in most of the city's major hotels. In our opinion, Bellagio is the gold standard for Strip hotels. It's classy, exclusive, and timeless. It's why we keep going back. And why we stopped trying others."
